descricao,sigla,id
EQUIPE APOIO A GESTAO DE CONTRATOS,DOPC,207
DEPTO DE PLANEJAMENTO CONTROLE E GESTAO,DOPC,359
OFICINA LUZ MANOBRAS,DORA,5
DEPTO DE MANUT MAT RODANTE - LAPA,DORA,9
ABRIGO LAPA MANOBRAS LAPA,DORA,115
ABRIGO LAPA SOLDA,DORA,116
OFICINA LUZ ELEVADORES,DORA,117
ABRIGO LAPA PREVENTIVA ELETRICA MECANICA NOTURNO,DORA,170
ABRIGO LAPA-FISCALIZAÇÃO LUZ,DORA,198
ABRIGO LAPA PREVENTIVA MECANICA,DORA,209
ABRIGO LAPA FRESADORA,DORA,360
ABRIGO LAPA CORRETIVA E FISCALIZACAO,DORA,567
ABRIGO PRES ALTINO PREVENTIVA,DORB,118
ABRIGO PRES ALTINO - FISCALIZACAO E QUALIDADE NOTURNA,DORB,119
ABRIGO PRES ALTINO - MANUTENCAO DE TRENS,DORB,120
ABRIGO PRES ALTINO - APOIO E MANOBRAS,DORB,121
ABRIGO PRES ALTINO - FISCALIZACAO E QUALIDADE,DORB,125
DEPTO DE MANUT MAT RODANTE - P ALTINO,DORB,247
ABRIGO ENG SP-FISCALIZACAO E CONTROLE,DORE,95
DEPTO DE MANUT MAT RODANTE - ENG S PAULO,DORE,122
ABRIGO ENG SP-PREVENTIVA MECANICA,DORE,210
ABRIGO ENG SP -PREV ENTIVA NOTURNA,DORE,356
ABRIGO ENG SP PREVENTIVA MECANICA DIURNA,DORE,440
"ABRIGO ENG SP PLANEJAMENTO, CONTROLE E LOGISTICA",DORE,448
ABRIGO ENG SP PREVENTIVA ELETRICA DIURNA,DORE,449
ABRIGO ENG SP PREVENTIVA MECANICA NOTURNA,DORE,450
ABRIGO ENG SP PREVENTIVA ELETRICA NOTURNA,DORE,451
ABRIGO ENG SP CORRETIVA E MANOBRA,DORE,452
ABRIGO ENG SP FISCALIZACAO E QUALIDADE,DORE,453
DEPTO DE OFICINAS DE MANUTENCAO,DORO,8
EQUIPE OFICINA PRES ALTINO,DORO,10
GERADORES E AUXILIARES,DORO,11
EQUIPAMENTOS PNEUMATICOS COMPRESSORES,DORO,12
EQUIPAMENTOS PNEUMATICOS BLOCOS CILINDROS FREIOS,DORO,13
USINAGEM E METALURGIA-USINAGEM,DORO,14
